ranking,title,location
775,University of Sharjah,United Arab Emirates
776,Shiraz University of Technology,Iran
777,Sichuan University,China
778,University of Siegen,Germany
779,Southern Cross University,Australia
780,Southern Medical University,China
781,University of the Sunshine Coast,Australia
782,University of Tabriz,Iran
783,Tabriz University of Medical Sciences,Iran
784,Universiti Teknologi Malaysia,Malaysia
785,Universiti Teknologi Petronas,Malaysia
786,University of Texas at Arlington,United States
787,Texas Tech University,United States
788,Thapar University,India
789,University of Thessaly,Greece
790,University of Toledo,United States
791,TU Braunschweig,Germany
792,University of Udine,Italy
793,University of Ulsan,South Korea
794,Ulster University,United Kingdom
795,Universiti Utara Malaysia,Malaysia
796,University of the Western Cape,South Africa
797,Western Washington University,United States
798,University of Windsor,Canada
799,University of Wisconsin-Milwaukee,United States
800,Worcester Polytechnic Institute,United States
801,University of Wuppertal,Germany
802,Xi‘an Jiaotong-Liverpool University,China
803,Yasouj University,Iran
804,Yokohama City University,Japan
805,University of the Aegean,Greece
806,"University of Agriculture, Faisalabad",Pakistan
807,University of Alcalá,Spain
808,University of Algarve,Portugal
809,Aligarh Muslim University,India
810,American University in Cairo,Egypt
811,American University of Sharjah,United Arab Emirates
812,Amrita Vishwa Vidyapeetham,India
813,"University of the Andes, Colombia",Colombia
814,"Asia University, Taiwan",Taiwan
815,Azarbaijan Shahid Madani University,Iran
816,University of the Basque Country,Spain
817,Baylor University,United States
818,University of Bedfordshire,United Kingdom
819,Beijing Jiaotong University,China
820,Benha University,Egypt
821,Beni-Suef University,Egypt
822,Bharathiar University,India
823,Bowling Green State University,United States
824,University of Brasília,Brazil
825,Capital Medical University,China
826,Cardiff Metropolitan University,United Kingdom
827,Carlos III University of Madrid,Spain
828,University of Central Lancashire,United Kingdom
829,Central Queensland University,Australia
830,University of Cergy-Pontoise,France
831,Chang Gung University,Taiwan
832,Charles Sturt University,Australia
833,Chiba University,Japan
834,University of Chile,Chile
835,"China University of Geosciences, Beijing",China
836,"China University of Geosciences, Wuhan",China
837,China University of Mining and Technology,China
838,Chonnam National University,South Korea
839,University of Córdoba,Spain
840,Covenant University,Nigeria
841,University of Debrecen,Hungary
842,Delhi Technological University,India
843,University of Derby,United Kingdom
844,East China University of Science and Technology,China
845,Eastern Mediterranean University,Northern Cyprus
846,University of East London,United Kingdom
847,École Centrale de Lyon,France
848,Federal University of Pelotas,Brazil
849,Federal University of Rio de Janeiro,Brazil
850,Federation University Australia,Australia
851,Florida Agricultural and Mechanical University,United States
852,Florida Atlantic University,United States
853,Florida Institute of Technology,United States
854,University of Foggia,Italy
855,Fu Jen Catholic University,Taiwan
856,Fuzhou University,China
857,Government College University Faisalabad,Pakistan
858,Guru Jambheshwar University of Science and Technology,India
859,University of Hertfordshire,United Kingdom
860,Hiroshima University,Japan
861,Hyogo College of Medicine,Japan
862,Ilmenau University of Technology,Germany
863,Imam Abdulrahman Bin Faisal University,Saudi Arabia
864,Indian Institute of Technology Bhubaneswar,India
865,Indian Institute of Technology (Indian School of Mines) Dhanbad,India
866,Indian Institute of Science Education and Research Bhopal,India
867,University of Indonesia,Indonesia
868,Inha University,South Korea
869,Isfahan University of Medical Sciences,Iran
870,Istanbul University,Turkey
871,Istanbul Technical University,Turkey
872,Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,Romania
873,Jadavpur University,India
874,University of Jaén,Spain
875,Jamia Hamdard University,India
876,Jiangsu University,China
877,Jilin University,China
878,University of Jordan,Jordan
879,Juntendo University,Japan
880,Kaohsiung Medical University,Taiwan
881,Karabük University,Turkey
882,Karlstad University,Sweden
883,Kent State University,United States
884,Kerman University of Medical Sciences,Iran
885,Kharkiv National University of Radio Electronics,Ukraine
886,Kindai University,Japan
887,King Mongkut’s University of Technology Thonburi,Thailand
888,King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia
889,Kingston University,United Kingdom
890,K.N. Toosi University of Technology,Iran
891,Kurume University,Japan
892,Kyoto Prefectural University of Medicine,Japan
893,Kyungpook National University,South Korea
894,Lahore University of Management Sciences,Pakistan
895,University of Las Palmas de Gran Canaria,Spain
896,Lebanese American University,Lebanon
897,Leeds Beckett University,United Kingdom
898,University of Leoben,Austria
899,University of Ljubljana,Slovenia
900,Louisiana Tech University,United States
901,"Lumière University, Lyon 2",France
902,Marquette University,United States
903,Medical University of Warsaw,Poland
904,University of Memphis,United States
905,Miami University,United States
906,Middle East Technical University,Turkey
907,University of Minho,Portugal
908,Mississippi State University,United States
909,Nanjing Normal University,China
910,National Autonomous University of Mexico,Mexico
911,National Central University,Taiwan
912,National Chengchi University,Taiwan
913,National Dong Hwa University,Taiwan
914,National Institute of Technology Rourkela,India
915,National University of Sciences and Technology,Pakistan
916,National Sun Yat-Sen University,Taiwan
917,National Taipei University of Technology,Taiwan
918,National Institute of Technology Silchar,India
919,The New School,United States
920,University of New Brunswick UNB,Canada
921,University of Nicosia,Cyprus
922,Niigata University,Japan
923,Normandy University,France
924,Northeastern University,China
925,Northeast Normal University,China
926,University of Northern British Columbia (UNBC),Canada
927,NorthWest A&F University,China
928,Ocean University of China,China
929,Okayama University,Japan
930,Old Dominion University,United States
931,University of Oran 1,Algeria
932,Osmania University,India
933,University of Oviedo,Spain
934,Pablo de Olavide University,Spain
935,University of Peshawar,Pakistan
936,Polytechnic University of Valencia,Spain
937,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil
938,Portland State University,United States
939,University of Puerto Rico,Puerto Rico
940,Pusan National University,South Korea
941,University of Regina,Canada
942,Rikkyo University,Japan
943,Rochester Institute of Technology,United States
944,University of Roehampton,United Kingdom
945,RUDN University,Russian Federation
946,Université Saint-Joseph de Beyrouth,Lebanon
947,University of Salamanca,Spain
948,University of Salford,United Kingdom
949,University of Santiago de Compostela,Spain
950,São Paulo State University (UNESP),Brazil
951,University of Science and Technology Beijing,China
952,University of Seville,Spain
953,Shanghai University,China
954,Shanghai University of Finance and Economics (SUFE),China
955,Shanghai Maritime University,China
956,Shantou University,China
957,Sheffield Hallam University,United Kingdom
958,Shiraz University,Iran
959,Sidi Mohamed Ben Abdellah University,Morocco
960,Sogang University,South Korea
961,Sohag University,Egypt
962,University of South Bohemia in České Budějovice,Czech Republic
963,South China Normal University,China
964,University of South Dakota,United States
965,Southern Illinois University Carbondale,United States
966,University of Split,Croatia
967,Sri Venkateswara University,India
968,Sultan Qaboos University,Oman
969,University of Szeged,Hungary
970,Tallinn University,Estonia
971,Tallinn University of Technology,Estonia
972,Technical University of Madrid,Spain
973,Technological University Dublin,Ireland
974,University of Technology of Compiègne,France
975,University of Technology of Troyes,France
976,Teesside University,United Kingdom
977,Universiti Tenaga Nasional (UNITEN),Malaysia
978,University of Texas at El Paso,United States
979,Tokyo Medical University,Japan
980,Tokyo Metropolitan University,Japan
981,Tomsk Polytechnic University,Russian Federation
982,University of Tours,France
983,Tribhuvan University,Nepal
984,"Vietnam National University, Hanoi",Vietnam
985,University of Vigo,Spain
986,Vilnius University,Lithuania
987,Vilnius Gediminas Technical University,Lithuania
988,VIT University,India
989,Volgograd State Technical University,Russian Federation
990,University of Warsaw,Poland
991,Waseda University,Japan
992,Wenzhou University,China
993,University of Westminster,United Kingdom
994,University of Wolverhampton,United Kingdom
995,Wuhan University of Technology,China
996,Xidian University,China
997,Yangzhou University,China
998,Yeungnam University,South Korea
999,University of Zaragoza,Spain
1000,Zayed University,United Arab Emirates
1001,Zhejiang University of Technology,China
1002,Acharya Nagarjuna University,India
1003,Acıbadem University,Turkey
1004,University of A Coruña,Spain
1005,"Adam Mickiewicz University, Poznań",Poland
1006,Adolfo Ibáñez University,Chile
1007,AGH University of Science and Technology,Poland
1008,Aichi Medical University,Japan
1009,Ain Shams University,Egypt
1010,Akdeniz University,Turkey
1011,Akita University,Japan
1012,Aksaray University,Turkey
1013,Al-Azhar University,Egypt
1014,Alexandria University,Egypt
1015,Alexandru Ioan Cuza University,Romania
1016,Al-Farabi Kazakh National University,Kazakhstan
1017,University of Alicante,Spain
1018,University of Almería,Spain
1019,Alzahra University,Iran
1020,Amity University,India
1021,Anadolu University,Turkey
1022,"University of the Andes, Chile",Chile
1023,"University of the Andes, Venezuela",Venezuela
1024,Andhra University,India
1025,Andrés Bello University (UNAB),Chile
1026,Ankara University,Turkey
1027,Anna University,India
1028,Annamalai University,India
1029,University of Antioquia,Colombia
1030,Aoyama Gakuin University,Japan
1031,Arak University,Iran
1032,Ariel University,Israel
1033,Assiut University,Egypt
1034,Atatürk University,Turkey
1035,Atılım University,Turkey
1036,Austral University of Chile,Chile
1037,Autonomous University of Baja California,Mexico
1038,Autonomous University of Hidalgo State (UAEH),Mexico
1039,Autonomous University of Nuevo León,Mexico
1040,Autonomous University of Puebla,Mexico
1041,Autonomous University of Querétaro,Mexico
1042,Autonomous University of San Luis Potosi,Mexico
1043,Autonomous University of the State of Mexico,Mexico
1044,Autonomous University of Yucatán,Mexico
1045,Babeş-Bolyai University,Romania
1046,University of Baghdad,Iraq
1047,Bahauddin Zakariya University,Pakistan
1048,Bahçeşehir University,Turkey
1049,Banasthali University,India
1050,Bandung Institute of Technology (ITB),Indonesia
1051,Bangladesh University of Engineering and Technology,Bangladesh
1052,Bashkir State University,Russian Federation
1053,Başkent University,Turkey
1054,University of Basrah,Iraq
1055,Beijing Forestry University,China
1056,Beijing University of Technology,China
1057,University of Béjaïa,Algeria
1058,Belarusian State University,Belarus
1059,Belgorod State National Research University,Russian Federation
1060,Bezmiâlem Vakif University,Turkey
1061,University of Bío-Bío,Chile
1062,University of Birjand,Iran
1063,"Birla Institute of Technology and Science, Pilani",India
1064,University of Biskra,Algeria
1065,Blida 1 University,Algeria
1066,Bolu Abant Izzet Baysal University,Turkey
1067,University of Botswana,Botswana
1068,University of Brawijaya,Indonesia
1069,Brno University of Technology,Czech Republic
1070,Bu-Ali Sina University,Iran
1071,University of Bucharest,Romania
1072,Budapest University of Technology and Economics,Hungary
1073,Burapha University,Thailand
1074,University of Burgos,Spain
1075,University of Cadiz,Spain
1076,University of Calcutta,India
1077,"California State University, Long Beach",United States
1078,Canterbury Christ Church University,United Kingdom
1079,Polytechnic University of Cartagena,Spain
1080,University of Carthage,Tunisia
1081,University of Castilla-La Mancha,Spain
1082,The Catholic University of Korea,South Korea
1083,Catholic University of the North,Chile
1084,Universidad Católica San Antonio de Murcia (UCAM),Spain
1085,University of Caxias do Sul,Brazil
1086,Ceará State University,Brazil
1087,Central University of Finance and Economics,China
1088,Chaoyang University of Technology,Taiwan
1089,"University of Chemistry and Technology, Prague",Czech Republic
1090,University of Chester,United Kingdom
1091,Chiang Mai University,Thailand
1092,Chiba Institute of Technology,Japan
1093,China Pharmaceutical University,China
1094,Chubu University,Japan
1095,Chungbuk National University,South Korea
1096,Chungnam National University,South Korea
1097,Chung Yuan Christian University,Taiwan
1098,Chuo University,Japan
1099,Cochin University of Science and Technology,India
1100,University of Colombo,Sri Lanka
1101,Comenius University in Bratislava,Slovakia
1102,University of Concepción,Chile
1103,University of Constantine 1,Algeria
1104,Corvinus University of Budapest,Hungary
1105,Cracow University of Technology,Poland
1106,Cukurova University,Turkey
1107,Czech University of Life Sciences Prague (CULS),Czech Republic
1108,Czech Technical University in Prague,Czech Republic
1109,De La Salle University,Philippines
1110,Del Rosario University,Colombia
1111,Democritus University of Thrace,Greece
1112,University of Dhaka,Bangladesh
1113,Diponegoro University,Indonesia
1114,Dokkyo Medical University,Japan
1115,Dokuz Eylül University,Turkey
1116,Doshisha University,Japan
1117,Dunarea de Jos University of Galati,Romania
1118,Duzce University,Turkey
1119,East Carolina University,United States
1120,"University of Economics, Prague",Czech Republic
1121,Edge Hill University,United Kingdom
1122,Ege University,Turkey
1123,Ehime University,Japan
1124,The University of Electro-Communications,Japan
1125,University of Engineering & Technology (UET) Lahore,Pakistan
1126,Erciyes University,Turkey
1127,Eskişehir Osmangazi University,Turkey
1128,Far Eastern Federal University,Russian Federation
1129,Fayoum University,Egypt
1130,Federal University of ABC (UFABC),Brazil
1131,Federal University of Alagoas,Brazil
1132,Federal University of Bahia,Brazil
1133,Federal University of Ceará (UFC),Brazil
1134,Federal University of Espírito Santo,Brazil
1135,Federal University of Goiás,Brazil
1136,Federal University of Health Sciences of Porto Alegre (UFCSPA) ,Brazil
1137,Federal University of Itajubá,Brazil
1138,Federal University of Juiz de Fora (UFJF),Brazil
1139,Federal University of Lavras,Brazil
1140,Federal University of Maranhão (UFMA),Brazil
1141,Federal University of Mato Grosso do Sul,Brazil
1142,Federal University of Ouro Preto,Brazil
1143,Federal University of Pará,Brazil
1144,Federal University of Paraí­ba (UFPB),Brazil
1145,Federal University of Paraná (UFPR),Brazil
1146,Federal University of Pernambuco,Brazil
1147,Federal University of Piauí,Brazil
1148,Federal University of Rio Grande do Norte (UFRN),Brazil
1149,Federal Rural University of the Semi-Arid Region,Brazil
1150,Federal University of Santa Maria,Brazil
1151,Federal University of São Carlos,Brazil
1152,Federal University of Technology – Paraná,Brazil
1153,Federal University of Uberlândia,Brazil
1154,Federal University of Viçosa,Brazil
1155,Federico Santa María Technical University,Chile
1156,Feng Chia University,Taiwan
1157,Ferdowsi University of Mashhad,Iran
1158,Fluminense Federal University,Brazil
1159,University of Fortaleza (UNIFOR),Brazil
1160,University of La Frontera,Chile
1161,University of Fukui,Japan
1162,Universitas Gadjah Mada,Indonesia
1163,Gazi University,Turkey
1164,Gaziantep University,Turkey
1165,University of Gdańsk,Poland
1166,Gdańsk University of Technology,Poland
1167,Gebze Technical University,Turkey
1168,"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures",Romania
1169,University of Ghana,Ghana
1170,Gifu University,Japan
1171,GITAM University,India
1172,Government College University Lahore,Pakistan
1173,Grigore T. Popa University of Medicine and Pharmacy,Romania
1174,University of Guadalajara,Mexico
1175,University of Guanajuato,Mexico
1176,Guangxi University,China
1177,Gubkin Russian State University of Oil and Gas,Russian Federation
1178,University of Guilan,Iran
1179,Gunma University,Japan
1180,Gyeongsang National University,South Korea
1181,Hakim Sabzevari University,Iran
1182,Hallym University,South Korea
1183,Hamamatsu University School of Medicine,Japan
1184,Hanoi University of Science and Technology,Vietnam
1185,Hashemite University,Jordan
1186,Université Hassan II de Casablanca,Morocco
1187,University of Havana,Cuba
1188,Helwan University,Egypt
1189,Hosei University,Japan
1190,University of Hradec Králové,Czech Republic
1191,Huaqiao University,China
1192,University of Hyogo,Japan
1193,Ibaraki University,Japan
1194,Ibn Tofaïl University,Morocco
1195,Immanuel Kant Baltic Federal University,Russian Federation
1196,Incheon National University,South Korea
1197,Indian Institute of Technology Patna,India
1198,Industrial University of Santander (UIS),Colombia
1199,IPB University,Indonesia
1200,Irkutsk State University,Russian Federation
1201,University of Isfahan,Iran
1202,I-Shou University,Taiwan
1203,The Islamia University of Bahawalpur,Pakistan
1204,Istanbul Medipol University,Turkey
1205,Ivane Javakhishvili Tbilisi State University,Georgia
1206,Ivan Franko National University of Lviv,Ukraine
1207,Iwate University,Japan
1208,Izmir Institute of Technology,Turkey
1209,James Madison University,United States
1210,Jan Evangelista Purkyně University,Czech Republic
1211,Jawaharlal Nehru Technological University Anantapur (JNTUA),India
1212,Jeju National University,South Korea
1213,Jeonbuk National University,South Korea
1214,Jianghan University,China
1215,Kagawa University,Japan
1216,Kagoshima University,Japan
1217,Kanagawa University,Japan
1218,Kanazawa University,Japan
1219,Kanazawa Medical University,Japan
1220,Kangwon National University,South Korea
1221,Kansai University,Japan
1222,Kasetsart University,Thailand
1223,Kaunas University of Technology,Lithuania
1224,Kazan National Research Technical University ,Russian Federation
1225,Kazan National Research Technological University,Russian Federation
1226,Kharazmi University,Iran
1227,Khon Kaen University,Thailand
1228,KIIT University,India
1229,King Faisal University,Saudi Arabia
1230,King Mongkut’s Institute of Technology Ladkrabang,Thailand
1231,King Mongkut's University of Technology North Bangkok,Thailand
1232,Kitasato University,Japan
1233,KL University,India
1234,Kochi University,Japan
1235,Kochi University of Technology,Japan
1236,Kogakuin University,Japan
1237,Kookmin University,South Korea
1238,Universiti Kuala Lumpur,Malaysia
1239,Kumamoto University,Japan
1240,Kunming University of Science and Technology,China
1241,Kuwait University,Kuwait
1242,Kwansei Gakuin University,Japan
1243,Kyoto Sangyo University,Japan
1244,Kyoto Institute of Technology,Japan
1245,Kyushu Institute of Technology (Kyutech),Japan
1246,Latvia University of Life Sciences and Technologies,Latvia
1247,Lebanese University,Lebanon
1248,University of León,Spain
1249,University of Lethbridge,Canada
1250,L.N. Gumilyov Eurasian National University,Kazakhstan
1251,Lobachevsky State University of Nizhni Novgorod,Russian Federation
1252,University of Łódź,Poland
1253,Lodz University of Technology,Poland
1254,London South Bank University,United Kingdom
1255,Londrina State University,Brazil
1256,Lorestan University,Iran
1257,University of Lucknow,India
1258,Maharaja Sayajirao University of Baroda,India
1259,Mahasarakham University,Thailand
1260,University of Malaga,Spain
1261,Universiti Malaysia Perlis,Malaysia
1262,Universiti Malaysia Sarawak (UNIMAS),Malaysia
1263,Manipal Academy of Higher Education,India
1264,University of Manouba,Tunisia
1265,University of Maribor,Slovenia
1266,Marmara University,Turkey
1267,University of Marrakech Cadi Ayyad,Morocco
1268,University of Mazandaran,Iran
1269,Meiji University,Japan
1270,Meijo University,Japan
1271,Mendel University in Brno,Czech Republic
1272,Menoufia University,Egypt
1273,M'Hamed Bougara University of Boumerdès,Algeria
1274,Michoacán University of San Nicolás of Hidalgo,Mexico
1275,Mie University,Japan
1276,Ming Chuan University,Taiwan
1277,Minia University,Egypt
1278,MIREA - Russian Technological University,Russian Federation
1279,University of Miskolc,Hungary
1280,University of Miyazaki,Japan
1281,Mohammed V University of Rabat,Morocco
1282,University of Monastir,Tunisia
1283,University of Montenegro,Montenegro
1284,Morgan State University,United States
1285,Moscow Aviation Institute,Russian Federation
1286,Moscow Power Engineering Institute,Russian Federation
1287,Multimedia University,Malaysia
1288,University of Mumbai,India
1289,University of Murcia,Spain
1290,Muroran Institute of Technology,Japan
1291,University of Mysore,India
1292,Universidad Nacional del Litoral,Argentina
1293,Nagaoka University of Technology,Japan
1294,Nagasaki University,Japan
1295,Nagoya City University,Japan
1296,Nagoya Institute of Technology,Japan
1297,Nanjing University of Aeronautics and Astronautics,China
1298,Nara Medical University,Japan
1299,Naresuan University,Thailand
1300,National Changhua University of Education,Taiwan
1301,National Chiayi University,Taiwan
1302,National Chi Nan University,Taiwan
1303,National Chin-Yi University of Technology,Taiwan
1304,National Chung Cheng University,Taiwan
1305,National Chung Hsing University,Taiwan
1306,National University of Colombia,Colombia
1307,National University of Córdoba,Argentina
1308,National University of Cuyo,Argentina
1309,National Ilan University,Taiwan
1310,"National Institute of Technology, Tiruchirappalli",India
1311,National University of Kaohsiung,Taiwan
1312,National Polytechnic University (IPN),Mexico
1313,National Research University of Electronic Technology (MIET),Russian Federation
1314,National Research Saratov State University,Russian Federation
1315,National University of San Martín,Argentina
1316,National Taipei University,Taiwan
1317,National Taiwan Ocean University,Taiwan
1318,National Technical University Kharkiv Polytechnic Institute,Ukraine
1319,National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,Ukraine
1320,National Yunlin University of Science and Technology,Taiwan
1321,Nicolaus Copernicus University in Toruń,Poland
1322,University of Nigeria Nsukka,Nigeria
1323,Slovak University of Agriculture in Nitra,Slovakia
1324,University of North Carolina Wilmington,United States
1325,North China Electric Power University,China
1326,"University of the North, Colombia",Colombia
1327,North-Eastern Federal University,Russian Federation
1328,Northwest University,China
1329,University of Novi Sad,Serbia
1330,Novosibirsk State Technical University,Russian Federation
1331,Oakland University,United States
1332,Obafemi Awolowo University,Nigeria
1333,Ochanomizu University,Japan
1334,Oita University,Japan
1335,Omsk State Technical University,Russian Federation
1336,Ondokuz Mayis University,Turkey
1337,Osaka City University,Japan
1338,Osaka Institute of Technology,Japan
1339,Osaka Medical College,Japan
1340,Osaka Prefecture University,Japan
1341,University of Ostrava,Czech Republic
1342,Padjadjaran University,Indonesia
1343,University of Pardubice,Czech Republic
1344,Paris Nanterre University,France
1345,University of Patras,Greece
1346,Pavol Jozef Šafárik University in Košice,Slovakia
1347,Perm National Research Polytechnic University,Russian Federation
1348,Perm State University,Russian Federation
1349,Pirogov Russian National Research Medical University,Russian Federation
1350,PMAS Arid Agriculture University Rawalpindi,Pakistan
1351,Polytechnic Institute of Porto,Portugal
1352,Polytechnic University of Bucharest,Romania
1353,Polytechnic University of Timişoara,Romania
1354,Pondicherry University,India
1355,Pontifical Bolivarian University (UPB) – Medellín,Colombia
1356,Pontifical Catholic University of Minas Gerais,Brazil
1357,Pontifical Catholic University of Paraná,Brazil
1358,Pontifical Catholic University of Peru,Peru
1359,Pontifical Catholic University of Valparaíso,Chile
1360,Port Said University,Egypt
1361,Prince of Songkla University,Thailand
1362,PSG College of Technology,India
1363,Public University of Navarre,Spain
1364,University of the Punjab,Pakistan
1365,Qassim University,Saudi Arabia
1366,Razi University,Iran
1367,Recep Tayyip Erdoğan University,Turkey
1368,University Rey Juan Carlos,Spain
1369,Riga Technical University,Latvia
1370,Rio de Janeiro State University (UERJ),Brazil
1371,Ritsumeikan University,Japan
1372,Robert Gordon University,United Kingdom
1373,Russian Presidential Academy of National Economy and Public Administration,Russian Federation
1374,Ryukoku University,Japan
1375,University of the Ryukyus,Japan
1376,University of La Sabana,Colombia
1377,Saga University,Japan
1378,Saitama University,Japan
1379,Saitama Medical University,Japan
1380,Sakarya University,Turkey
1381,Samara University,Russian Federation
1382,Samara State Technical University,Russian Federation
1383,San Sebastián University,Chile
1384,Santa Catarina State University,Brazil
1385,"University of Santiago, Chile (USACH)",Chile
1386,Sapporo Medical University,Japan
1387,University of Sargodha,Pakistan
1388,SASTRA University,India
1389,Satbayev University,Kazakhstan
1390,Sathyabama Institute of Science and Technology,India
1391,Saveetha University,India
1392,University of Sciences and Technology Houari Boumediene,Algeria
1393,University of Science and Technology of Oran Mohamed-Boudiaf,Algeria
1394,Sechenov University,Russian Federation
1395,Selçuk University,Turkey
1396,Semnan University,Iran
1397,University of Seoul,South Korea
1398,Seoul National University of Science and Technology (SeoulTech),South Korea
1399,University of Sfax,Tunisia
1400,Shahed University,Iran
1401,Shahid Bahonar University of Kerman,Iran
1402,​Shahid Chamran University of Ahvaz,Iran
1403,Shahid Rajaee Teacher Training University,Iran
1404,Shahrekord University,Iran
1405,Shahrood University of Technology,Iran
1406,Shibaura Institute of Technology Tokyo,Japan
1407,Shiga University of Medical Science,Japan
1408,Shimane University,Japan
1409,Shinshu University,Japan
1410,Shiraz University of Medical Sciences,Iran
1411,Shizuoka University,Japan
1412,University of Shizuoka,Japan
1413,Showa University,Japan
1414,Siberian Federal University,Russian Federation
1415,Siksha ‘O’ Anusandhan,India
1416,University of Silesia in Katowice,Poland
1417,Silesian University of Technology,Poland
1418,Silpakorn University,Thailand
1419,Simón Bolívar University,Venezuela
1420,University of Sistan and Baluchestan,Iran
1421,Slovak University of Technology in Bratislava,Slovakia
1422,Sofia University,Bulgaria
1423,University of Sonora,Mexico
1424,Soongsil University,South Korea
1425,Sophia University,Japan
1426,University of Sousse,Tunisia
1427,University of South Africa,South Africa
1428,University of South China,China
1429,Southern Federal University,Russian Federation
1430,South Ural State University,Russian Federation
1431,South Valley University,Egypt
1432,University of South Wales,United Kingdom
1433,Southwest Jiaotong University,China
1434,Srinakharinwirot University,Thailand
1435,SRM Institute of Science and Technology,India
1436,Staffordshire University,United Kingdom
1437,State University of Maringá,Brazil
1438,State University of Ponta Grossa,Brazil
1439,State University of Santa Cruz,Brazil
1440,St Marianna University School of Medicine,Japan
1441,St Petersburg Electrotechnical University (LETI),Russian Federation
1442,Süleyman Demirel University,Turkey
1443,Suranaree University of Technology,Thailand
1444,SWPS University of Social Sciences and Humanities,Poland
1445,Szent István University,Hungary
1446,University of Talca,Chile
1447,Tamil Nadu Agricultural University,India
1448,Tamkang University,Taiwan
1449,Tanta University,Egypt
1450,University of Tarapacá,Chile
1451,Taras Shevchenko National University of Kyiv,Ukraine
1452,Technical University of Cluj-Napoca,Romania
1453,Technical University of Košice,Slovakia
1454,Technical University of Liberec,Czech Republic
1455,"University of Technology, Iraq",Iraq
1456,Universiti Teknikal Malaysia Melaka,Malaysia
1457,Universiti Teknologi MARA,Malaysia
1458,Institut Teknologi Sepuluh Nopember,Indonesia
1459,Telkom University,Indonesia
1460,Texas State University,United States
1461,Tezpur University,India
1462,Thammasat University,Thailand
1463,University of Tlemcen,Algeria
1464,TOBB University of Economics and Technology,Turkey
1465,Toho University,Japan
1466,Tokai University,Japan
1467,Tokat Gaziosmanpaşa University,Turkey
1468,Tokushima University,Japan
1469,Tokyo University of Agriculture,Japan
1470,Tokyo University of Agriculture and Technology,Japan
1471,Tokyo City University,Japan
1472,Tokyo Denki University,Japan
1473,Tokyo University of Marine Science and Technology,Japan
1474,Tokyo University of Science,Japan
1475,Tomas Bata University in Zlín,Czech Republic
1476,Tomsk State University of Control Systems and Radioelectronics,Russian Federation
1477,Tottori University,Japan
1478,University of Toyama,Japan
1479,Toyo University,Japan
1480,Toyohashi University of Technology (TUT),Japan
1481,Transilvania University of Brașov,Romania
1482,University of Trás-os-Montes and Alto Douro,Portugal
1483,Tshwane University of Technology,South Africa
1484,Tunghai University,Taiwan
1485,University of Tunis El Manar,Tunisia
1486,Tzu Chi University,Taiwan
1487,Ufa State Aviation Technical University,Russian Federation
1488,Umm Al-Qura University,Saudi Arabia
1489,Unisinos University,Brazil
1490,Ural Federal University,Russian Federation
1491,Urmia University,Iran
1492,Utsunomiya University,Japan
1493,University of Valladolid,Spain
1494,University of Valparaíso,Chile
1495,"University of Veterinary and Animal Sciences, Lahore",Pakistan
1496,Vietnam National University (Ho Chi Minh City),Vietnam
1497,"Visvesvaraya National Institute of Technology, Nagpur",India
1498,V.N. Karazin Kharkiv National University,Ukraine
1499,Voronezh State University,Russian Federation
1500,VSB - Technical University of Ostrava,Czech Republic
1501,Vytautas Magnus University,Lithuania
1502,Warsaw University of Life Sciences – SGGW,Poland
1503,Warsaw University of Technology,Poland
1504,Wenzhou Medical University,China
1505,University of West Bohemia,Czech Republic
1506,Western Michigan University,United States
1507,Western Paraná State University (Unioeste),Brazil
1508,West University of Timişoara,Romania
1509,Wrocław University of Environmental and Life Sciences,Poland
1510,Wrocław University of Science and Technology,Poland
1511,University of Wrocław,Poland
1512,Xiangtan University,China
1513,Yamagata University,Japan
1514,Yamaguchi University,Japan
1515,University of Yamanashi,Japan
1516,Yanshan University,China
1517,Yarmouk University,Jordan
1518,Yazd University,Iran
1519,Yeditepe University,Turkey
1520,Yıldız Technical University,Turkey
1521,Yokohama National University,Japan
1522,Yuan Ze University,Taiwan
1523,Yuriy Fedkovych Chernivtsi National University,Ukraine
1524,Zagazig University,Egypt
1525,University of Zagreb,Croatia
1526,University of Žilina,Slovakia
